Ticker,Live Price,Invest Score,Highest Invest Score,Lowest Invest Score,1Y% Change,Status
COMM,15.58,272.13%,272.13%,256.26%,444.76%,Repeat
VSAT,25.62,234.13%,234.13%,223.57%,12.27%,Repeat
MP,74.32,227.86%,261.84%,156.60%,567.15%,Repeat
ALAB,179.28,209.11%,209.11%,195.32%,338.23%,Repeat
AMPX,8.06,185.93%,185.93%,185.93%,639.45%,Repeat
BE,36.80,179.09%,184.12%,141.27%,220.28%,Repeat
UUUU,9.55,164.47%,216.97%,149.41%,115.09%,Repeat
SYM,55.61,161.95%,198.51%,161.95%,153.93%,Repeat
SCS,15.88,156.25%,156.25%,148.90%,31.37%,Repeat
BMNR,51.43,151.25%,151.25%,120.86%,563.61%,Repeat
STAA,27.26,149.07%,149.07%,136.34%,-28.97%,Repeat
WWW,27.44,147.09%,147.09%,141.15%,123.03%,Repeat
RNA,46.29,143.53%,143.53%,136.00%,-1.41%,Repeat
IREN,18.45,137.87%,137.87%,135.60%,145.67%,Repeat
NBIS,68.78,135.87%,135.87%,100.17%,243.90%,Repeat
LQDA,20.45,127.99%,127.99%,103.05%,75.54%,Repeat
PLTR,186.96,126.81%,126.81%,126.81%,522.99%,Repeat
BWXT,179.19,126.00%,126.00%,122.30%,84.84%,Repeat
LC,14.99,122.26%,126.66%,102.88%,42.49%,Repeat
PRCH,14.20,121.09%,122.22%,121.09%,1009.38%,Repeat
SHOP,149.61,116.61%,116.61%,110.31%,115.89%,Repeat
GFI,31.29,114.93%,114.93%,108.78%,108.10%,Repeat
XERS,6.84,114.62%,114.62%,114.62%,194.83%,Repeat
ZETA,18.73,109.15%,109.15%,104.70%,-20.84%,Repeat
RGTI,15.44,108.00%,137.01%,108.00%,1854.43%,Repeat
CDE,11.65,107.61%,107.61%,107.61%,114.15%,Repeat
HLMN,9.83,107.19%,107.19%,101.67%,5.36%,Repeat
GO,18.54,105.80%,105.80%,105.80%,-5.41%,Repeat
SBH,11.68,102.70%,102.70%,102.70%,14.73%,Repeat
LMND,48.98,100.77%,100.77%,100.77%,220.55%,Repeat
