Timestamp,General Market Score,Large Market Cap Score,EMA Score,Combined Score,Live SPY Price,Live VIX Price,Momentum Based Recession Chance,VIX Based Recession Chance,Raw Market Invest Score,Market Score Percentile,Market IV,Market IVR
2025-07-23T08:32:12.130411+00:00,57.65,51.34,70.19,59.73,628.86,16.24,9.6%,3.7%,112.13,0.0%,N/A,0.0%
2025-07-23T08:33:37.021312+00:00,57.65,51.34,70.19,59.73,628.86,16.24,9.6%,3.7%,112.13,100.0%,N/A,0.0%
2025-07-24T04:25:50.176723+00:00,61.21,57.38,70.66,63.09,634.21,15.37,9.4%,3.3%,115.21,100.0%,N/A,0.0%
2025-07-24T04:31:13.920470+00:00,61.21,57.38,70.66,63.09,634.21,15.37,9.4%,3.3%,115.21,100.0%,N/A,0.0%
2025-07-24T04:32:10.881113+00:00,61.21,57.38,70.66,63.09,634.21,15.37,9.4%,3.3%,115.21,100.0%,N/A,0.0%
2025-07-24T04:32:47.953977+00:00,61.21,57.38,70.66,63.09,634.21,15.37,9.4%,3.3%,115.21,100.0%,N/A,0.0%
2025-07-25T06:14:04.660944+00:00,58.32,54.83,70.87,61.34,634.42,15.39,9.4%,3.3%,115.09,33.3%,N/A,0.0%
2025-07-25T16:32:29.465761+00:00,58.25,50.75,71.22,60.07,636.94,15.09,9.3%,3.2%,116.05,100.0%,N/A,0.0%
2025-07-26T05:19:24.346597+00:00,59.54,53.29,71.26,61.36,637.10,14.93,9.3%,3.1%,116.72,100.0%,N/A,0.0%
2025-07-26T06:00:35.608656+00:00,59.54,53.29,71.26,61.36,637.10,14.93,9.3%,3.1%,116.72,100.0%,N/A,0.0%
2025-07-26T06:04:21.826664+00:00,59.54,53.29,71.26,61.36,637.10,14.93,9.3%,3.1%,116.72,100.0%,N/A,0.0%
2025-07-26T06:09:07.292503+00:00,59.54,53.29,71.26,61.36,637.10,14.93,9.3%,3.1%,116.72,100.0%,N/A,0.0%
2025-07-26T06:14:27.284173+00:00,59.54,53.29,71.26,61.36,637.10,14.93,9.3%,3.1%,116.72,100.0%,N/A,0.0%
2025-07-26T06:15:41.856249+00:00,59.54,53.29,71.26,61.36,637.10,14.93,9.3%,3.1%,116.72,100.0%,N/A,0.0%
2025-07-28T18:32:15.417448+00:00,57.07,46.34,71.21,58.21,635.98,15.37,9.3%,3.3%,114.92,14.3%,N/A,0.0%
2025-07-28T18:32:50.824729+00:00,57.13,46.34,71.21,58.22,636.01,15.37,9.3%,3.3%,114.91,13.3%,N/A,0.0%
2025-07-29T16:34:42.465407+00:00,55.78,46.02,71.04,57.61,635.52,15.19,9.3%,3.2%,115.80,56.2%,N/A,0.0%
2025-07-31T08:22:53.260513+00:00,53.86,39.59,70.42,54.63,634.46,14.87,9.4%,3.1%,117.40,100.0%,N/A,0.0%
2025-08-01T02:22:48.761184+00:00,49.03,34.88,69.47,51.13,632.08,16.72,9.5%,3.9%,109.25,0.0%,N/A,0.0%
2025-08-08T09:21:08.776768+00:00,49.64,45.01,64.98,53.21,632.25,16.33,8.6%,3.7%,106.84,0.0%,N/A,0.0%
2025-08-11T00:12:54.236272+00:00,51.81,50.69,65.36,55.95,637.18,15.15,8.3%,3.2%,111.95,10.0%,N/A,0.0%
2025-08-11T00:30:28.013534+00:00,51.81,50.69,65.36,55.95,637.18,15.15,8.3%,3.2%,111.95,14.3%,3.17,0.0%
2025-08-11T00:37:39.828106+00:00,51.82,50.69,65.36,55.96,637.18,15.15,8.3%,3.2%,111.95,18.2%,3.17,100.0%
2025-08-11T00:43:53.808055+00:00,51.81,50.69,65.36,55.95,637.18,15.15,8.3%,3.2%,111.95,21.7%,2.77,0.0%
