DATE,TICKER,PRICE,COMBINED_ALLOCATION_PERCENT
05/14/2025,IBM,257.82,N/A
05/14/2025,SAP,288.46,N/A
05/14/2025,QTUM,83.97,N/A
05/14/2025,ASML,768.91,N/A
05/14/2025,ORCL,162.95,N/A
05/14/2025,MU,95.32,N/A
05/14/2025,AVGO,232.12,N/A
05/14/2025,DELL,111.02,N/A
05/14/2025,TSM,194.76,N/A
05/14/2025,ARM,133.45,N/A
05/14/2025,SE,163.18,N/A
05/14/2025,HWM,159.46,N/A
05/14/2025,CRWD,435.94,N/A
05/14/2025,NVDA,135.34,N/A
05/14/2025,GEV,432.84,N/A
05/14/2025,SMCI,45.00,N/A
05/14/2025,STX,105.19,N/A
05/14/2025,PLTR,130.18,N/A
05/14/2025,VST,154.72,N/A
05/14/2025,CEG,288.15,N/A
05/14/2025,MRVL,65.90,N/A
05/14/2025,PH,674.81,N/A
05/14/2025,GE,223.24,N/A
05/14/2025,INTC,21.52,N/A
05/14/2025,CDNS,319.39,N/A
05/14/2025,NOW,1026.82,N/A
05/14/2025,GLW,47.01,N/A
05/14/2025,VRT,109.48,N/A
05/14/2025,TMUS,235.29,N/A
05/14/2025,AAPL,212.33,N/A
05/14/2025,META,659.36,N/A
05/14/2025,GOOG,166.81,N/A
05/14/2025,SPY,587.59,N/A
05/14/2025,QQQ,518.68,N/A
05/14/2025,GLD,293.16,N/A
05/14/2025,SLV,29.25,N/A
05/18/2025,IBM,266.76,N/A
05/18/2025,SAP,296.41,N/A
05/18/2025,QTUM,84.77,N/A
05/18/2025,ASML,748.10,N/A
05/18/2025,ORCL,160.49,N/A
05/18/2025,MU,98.00,N/A
05/18/2025,AVGO,228.61,N/A
05/18/2025,DELL,114.19,N/A
05/18/2025,TSM,194.22,N/A
05/18/2025,ARM,135.96,N/A
05/18/2025,SE,161.51,N/A
05/18/2025,HWM,162.80,N/A
05/18/2025,CRWD,439.26,N/A
05/18/2025,NVDA,135.40,N/A
05/18/2025,GEV,428.06,N/A
