Ticker,Sector to Market,Stock to Sector,Meme Stock
A,4,3,No
AA,2.64,3,No
AAL,2.36,3,No
AAP,2.79,1,Yes
AAPL,4.65,5,N/A
ABBV,3.5,5,N/A
ABNB,3.5,4,N/A
ABT,3.64,5,N/A
ACN,3.29,5,N/A
ADBE,4,5,N/A
ADI,4.65,4,N/A
ADP,3.29,4,N/A
ADSK,4,3,N/A
AEO,2.79,1,No
AEP,2.93,3,No
AFL,3.71,3,N/A
AFRM,3.71,2,No
AI,4,1,Yes
AJG,3.71,3,N/A
ALAB,4.65,2,No
ALB,3.14,2,No
ALK,2.36,3,No
ALL,3.71,3,N/A
AMAT,4.65,4,N/A
AMC,2.86,1,Yes
AMD,4.65,5,N/A
AMGN,3.64,4,N/A
AMP,3.71,3,N/A
AMSC,2.93,1,Yes
AMT,3,3,N/A
AMZN,2.93,5,N/A
ANET,4,4,N/A
ANF,2.79,2,No
AON,3.71,3,N/A
APD,3.14,3,N/A
APH,3,3,N/A
APLD,4,1,Yes
APO,3.71,4,N/A
APP,4,4,N/A
APTV,3.21,2,No
ACHR,2.36,2,Yes
ARES,3.71,3,N/A
ARM,4.65,4,N/A
ARMK,1.57,2,No
ASML,4.65,5,N/A
ASO,2.79,1,No
ASTS,3,2,Yes
AVGO,4.65,5,N/A
AXON,3.79,3,N/A
AXP,3.71,5,N/A
AZN,3.5,5,N/A
AZO,3.21,3,N/A
BA,2.36,5,N/A
BABA,4,5,N/A
BAC,3.57,5,N/A
BB,4,1,Yes
BBAI,4,1,Yes
BBVA,3.5,3,N/A
BBW,2.79,1,No
BBWI,2.79,2,Yes
BBY,2.79,2,Yes
BDX,3.64,3,N/A
BE,2.93,2,Yes
BIDU,4,3,No
BITF,3.07,2,Yes
BJ,2.79,2,No
BK,3.57,3,N/A
BKNG,2.36,5,N/A
BLDR,3.14,2,No
BLK,3.71,5,N/A
BMBL,2.86,1,Yes
BMO,3.57,3,N/A
BMY,3.5,4,N/A
BN,3.71,3,N/A
BN,3.71,3,N/A
BNED,2.79,1,Yes
BNS,3.57,3,N/A
BP,2.93,3,N/A
BRK.B,3.71,5,N/A
BROS,2.93,2,No
BRZE,4,1,No
BSX,3.64,4,N/A
BTI,2.07,4,N/A
BTM,3.07,1,Yes
