DATE,RANK,TICKER,PRICE
05/14/2025,1,NRG,153.81
05/14/2025,2,PLTR,130.18
05/14/2025,3,GEV,432.84
05/14/2025,4,MOS,33.68
05/14/2025,5,CEG,288.15
05/14/2025,6,APH,85.63
05/14/2025,7,HWM,159.46
05/14/2025,8,AXON,728.53
05/14/2025,9,PWR,343.15
05/14/2025,10,FSLR,192.98
05/18/2025,1,NRG,159.20
05/18/2025,2,PLTR,129.52
05/18/2025,3,MOS,35.21
05/18/2025,4,FSLR,178.46
05/18/2025,5,GEV,428.06
05/18/2025,6,AXON,733.18
05/18/2025,7,CEG,291.12
05/18/2025,8,APH,86.88
05/18/2025,9,HWM,162.80
05/18/2025,10,STX,107.79
05/19/2025,1,NRG,161.24
05/19/2025,2,PLTR,126.33
05/19/2025,3,GEV,446.60
05/19/2025,4,MOS,35.35
05/19/2025,5,AXON,742.32
05/19/2025,6,CEG,294.02
05/19/2025,7,HWM,166.24
05/19/2025,8,FSLR,164.92
05/19/2025,9,STX,109.04
05/19/2025,10,APH,86.41
05/22/2025,1,NRG,155.29
05/22/2025,2,GEV,458.82
05/22/2025,3,PLTR,122.29
05/22/2025,4,COIN,271.95
05/22/2025,5,MOS,35.01
05/22/2025,6,AXON,723.75
05/22/2025,7,CEG,291.47
05/22/2025,8,STX,108.86
05/22/2025,9,HWM,163.01
05/22/2025,10,PODD,321.00
05/27/2025,1,MMM,Error
05/27/2025,2,AOS,Error
05/27/2025,3,ABT,Error
05/27/2025,4,ABBV,Error
05/27/2025,5,ACN,Error
05/27/2025,6,ADBE,Error
05/27/2025,7,AMD,Error
05/27/2025,8,AES,Error
05/27/2025,9,AFL,Error
05/27/2025,10,A,Error
